Transaction_ID,Station_ID,Zone,Charging_Duration_Mins,Energy_Consumed_kWh,Total_Amount_INR,Payment_Method,Transaction_Status,Timestamp
EV_TXN_8001,STN_113,West Zone - Highway Corridor,180,52.88,793.2,Credit Card,SUCCESS,2026-08-09 06:20:22
EV_TXN_8002,STN_108,West Zone - Highway Corridor,24,9.12,136.8,RFID Card,SUCCESS,2026-08-13 19:07:22
EV_TXN_8003,STN_110,Central Zone - Metro Station,64,23.92,358.8,RFID Card,SUCCESS,2026-08-16 20:18:22
EV_TXN_8004,STN_112,North Zone - Tech Park,148,36.96,554.4,RFID Card,SUCCESS,2026-08-05 19:30:22
EV_TXN_8005,STN_101,South Zone - Residential,175,61.97,929.55,UPI / QR,SUCCESS,2026-08-13 06:36:22
EV_TXN_8006,STN_104,South Zone - Residential,46,12.49,187.35,Credit Card,CHARGER_FAULT,2026-08-14 20:32:22
EV_TXN_8007,STN_105,East Zone - Commercial Hub,64,16.62,249.3,RFID Card,SUCCESS,2026-08-13 22:58:22
EV_TXN_8008,STN_101,Central Zone - Metro Station,64,22.95,344.25,Mobile Wallet,FAILED_PAYMENT,2026-08-02 23:25:22
EV_TXN_8009,STN_107,South Zone - Residential,76,23.65,354.75,RFID Card,SUCCESS,2026-08-18 03:10:22
EV_TXN_8010,STN_106,North Zone - Tech Park,35,13.7,,,SUCCESS,2026-08-02 23:41:22
EV_TXN_8011,STN_105,South Zone - Residential,79,29.45,441.75,Mobile Wallet,CHARGER_FAULT,2026-08-11 16:06:22
EV_TXN_8012,STN_115,South Zone - Residential,158,37.45,561.75,,SUCCESS,2026-08-16 19:44:22
EV_TXN_8013,STN_115,North Zone - Tech Park,59,15.89,238.35,Mobile Wallet,SUCCESS,2026-08-02 04:46:22
EV_TXN_8014,STN_108,North Zone - Tech Park,63,19.72,295.8,Credit Card,CHARGER_FAULT,2026-08-21 05:56:22
EV_TXN_8015,STN_111,North Zone - Tech Park,142,39.3,589.5,RFID Card,SUCCESS,2026-08-04 16:04:22
EV_TXN_8016,STN_113,North Zone - Tech Park,67,18.92,283.8,UPI / QR,FAILED_PAYMENT,2026-08-12 20:16:22
EV_TXN_8017,STN_104,South Zone - Residential,135,52.41,786.15,Credit Card,SUCCESS,2026-08-13 19:17:22
EV_TXN_8018,STN_110,South Zone - Residential,36,11.19,167.85,UPI / QR,SUCCESS,2026-08-08 06:06:22
EV_TXN_8019,STN_106,Central Zone - Metro Station,175,65.49,982.35,,FAILED_PAYMENT,2026-08-08 20:11:22
EV_TXN_8020,STN_114,West Zone - Highway Corridor,110,28.83,,Credit Card,SUCCESS,2026-08-17 17:12:22
EV_TXN_8021,STN_109,Central Zone - Metro Station,129,38.59,578.85,,FAILED_PAYMENT,2026-08-18 00:55:22
EV_TXN_8022,STN_104,East Zone - Commercial Hub,140,43.35,650.25,UPI / QR,FAILED_PAYMENT,2026-08-13 03:24:22
EV_TXN_8023,STN_110,West Zone - Highway Corridor,173,50.69,760.35,UPI / QR,FAILED_PAYMENT,2026-08-04 02:57:22
EV_TXN_8024,STN_108,East Zone - Commercial Hub,102,40.34,605.1,,FAILED_PAYMENT,2026-08-15 03:42:22
EV_TXN_8025,STN_115,East Zone - Commercial Hub,80,26.14,392.1,Credit Card,SUCCESS,2026-08-12 03:37:22
EV_TXN_8026,STN_115,West Zone - Highway Corridor,20,6.8,102.0,RFID Card,SUCCESS,2026-08-11 03:39:22
EV_TXN_8027,STN_115,South Zone - Residential,116,23.53,352.95,UPI / QR,SUCCESS,2026-08-08 23:39:22
EV_TXN_8028,STN_110,North Zone - Tech Park,113,23.72,355.8,,SUCCESS,2026-08-09 15:50:22
EV_TXN_8029,STN_103,East Zone - Commercial Hub,82,25.48,382.2,RFID Card,SUCCESS,2026-08-15 00:56:22
EV_TXN_8030,STN_113,South Zone - Residential,120,39.91,,RFID Card,SUCCESS,2026-08-14 01:35:22
EV_TXN_8031,STN_114,North Zone - Tech Park,175,53.14,797.1,Mobile Wallet,CHARGER_FAULT,2026-08-15 03:13:22
EV_TXN_8032,STN_101,East Zone - Commercial Hub,101,35.05,525.75,UPI / QR,FAILED_PAYMENT,2026-08-02 03:26:22
EV_TXN_8033,STN_105,South Zone - Residential,108,35.06,525.9,Credit Card,SUCCESS,2026-08-02 20:24:22
EV_TXN_8034,STN_107,West Zone - Highway Corridor,166,42.24,633.6,,SUCCESS,2026-08-18 15:42:22
EV_TXN_8035,STN_106,South Zone - Residential,71,27.95,419.25,Credit Card,CHARGER_FAULT,2026-08-19 15:32:22
EV_TXN_8036,STN_107,Central Zone - Metro Station,81,24.06,360.9,UPI / QR,SUCCESS,2026-08-18 19:43:22
EV_TXN_8037,STN_113,North Zone - Tech Park,95,26.18,392.7,,SUCCESS,2026-08-15 00:57:22
EV_TXN_8038,STN_101,East Zone - Commercial Hub,75,15.93,238.95,RFID Card,FAILED_PAYMENT,2026-08-07 18:35:22
EV_TXN_8039,STN_109,East Zone - Commercial Hub,54,12.92,193.8,Mobile Wallet,SUCCESS,2026-08-05 04:47:22
EV_TXN_8040,STN_102,South Zone - Residential,172,68.7,,Credit Card,SUCCESS,2026-08-05 18:09:22
EV_TXN_8041,STN_110,East Zone - Commercial Hub,108,28.05,420.75,Mobile Wallet,SUCCESS,2026-08-17 06:26:22
EV_TXN_8042,STN_106,Central Zone - Metro Station,68,18.42,276.3,UPI / QR,SUCCESS,2026-08-19 18:10:22
EV_TXN_8043,STN_115,Central Zone - Metro Station,124,49.31,739.65,Mobile Wallet,SUCCESS,2026-08-14 04:23:22
EV_TXN_8044,STN_113,East Zone - Commercial Hub,48,14.65,219.75,RFID Card,SUCCESS,2026-08-02 05:30:22
EV_TXN_8045,STN_107,North Zone - Tech Park,103,24.24,363.6,Credit Card,FAILED_PAYMENT,2026-08-18 04:52:22
EV_TXN_8046,STN_115,East Zone - Commercial Hub,152,31.17,467.55,UPI / QR,SUCCESS,2026-08-04 01:06:22
EV_TXN_8047,STN_107,East Zone - Commercial Hub,122,36.97,554.55,,SUCCESS,2026-08-07 16:28:22
EV_TXN_8048,STN_101,North Zone - Tech Park,157,56.78,851.7,Mobile Wallet,SUCCESS,2026-08-09 03:42:22
EV_TXN_8049,STN_113,Central Zone - Metro Station,52,10.46,156.9,RFID Card,SUCCESS,2026-08-16 06:26:22
EV_TXN_8050,STN_107,Central Zone - Metro Station,176,69.0,,,SUCCESS,2026-08-12 04:24:22
EV_TXN_8051,STN_112,North Zone - Tech Park,49,18.62,279.3,,SUCCESS,2026-08-14 17:25:22
EV_TXN_8052,STN_111,Central Zone - Metro Station,168,47.06,705.9,UPI / QR,SUCCESS,2026-08-17 05:19:22
EV_TXN_8053,STN_114,Central Zone - Metro Station,113,32.52,487.8,UPI / QR,SUCCESS,2026-08-04 01:00:22
EV_TXN_8054,STN_104,North Zone - Tech Park,106,35.54,533.1,UPI / QR,SUCCESS,2026-08-01 20:08:22
EV_TXN_8055,STN_103,East Zone - Commercial Hub,136,35.35,530.25,,SUCCESS,2026-08-07 17:13:22
EV_TXN_8056,STN_102,Central Zone - Metro Station,135,28.4,426.0,UPI / QR,SUCCESS,2026-08-13 04:24:22
EV_TXN_8057,STN_107,West Zone - Highway Corridor,113,29.8,447.0,RFID Card,SUCCESS,2026-08-08 06:26:22
EV_TXN_8058,STN_112,South Zone - Residential,125,42.98,644.7,UPI / QR,CHARGER_FAULT,2026-08-03 05:29:22
EV_TXN_8059,STN_110,West Zone - Highway Corridor,74,15.53,232.95,Credit Card,SUCCESS,2026-08-08 17:06:22
